id	ident	type	name	latitude_deg	longitude_deg	elevation_ft	iso_country	iso_region	municipality	icao_code	iata_code	gps_code	local_code
323361	00AA	small_airport	Aero B Ranch Airport	38.704022	-101.473911	3435	US	US-KS	Leoti			00AA	00AA
6524	00AK	small_airport	Lowell Field	59.947733	-151.692524	450	US	US-AK	Anchor Point			00AK	00AK
6525	00AL	small_airport	Epps Airpark	34.8647994995117	-86.7703018188477	820	US	US-AL	Harvest			00AL	00AL
506791	00AN	small_airport	Katmai Lodge Airport	59.093287	-156.456699	80	US	US-AK	King Salmon			00AN	00AN
322127	00AS	small_airport	Fulton Airport	34.9428028	-97.8180194	1100	US	US-OK	Alex			00AS	00AS
6527	00AZ	small_airport	Cordes Airport	34.3055992126465	-112.165000915527	3810	US	US-AZ	Cordes			00AZ	00AZ
6528	00CA	small_airport	Goldstone (GTS) Airport	35.35474	-116.885329	3038	US	US-CA	Barstow			00CA	00CA
324424	00CL	small_airport	Williams Ag Airport	39.427188	-121.763427	87	US	US-CA	Biggs			00CL	00CL
6531	00FA	small_airport	Grass Patch Airport	28.6455001831055	-82.2190017700195	53	US	US-FL	Bushnell			00FA	00FA
6533	00FL	small_airport	River Oak Airport	27.230899810791	-80.9692001342773	35	US	US-FL	Okeechobee			00FL	00FL
6534	00GA	small_airport	Lt World Airport	33.7675018310547	-84.0682983398438	700	US	US-GA	Lithonia			00GA	00GA
6537	00ID	small_airport	Delta Shores Airport	48.1453018188477	-116.213996887207	2064	US	US-ID	Clark Fork			00ID	00ID
322581	00IG	small_airport	Goltl Airport	39.724028	-101.395994	3359	US	US-KS	McDonald			00IG	00IG
6539	00IL	small_airport	Hammer Airport	41.978401	-89.560402	840	US	US-IL	Polo			00IL	00IL
6541	00IS	small_airport	Hayenga's Cant Find Farms Airport	40.0256004333496	-89.1229019165039	820	US	US-IL	Kings			00IS	00IS
6542	00KS	small_airport	Hayden Farm Airport	38.7277984619141	-94.9304962158203	1100	US	US-KS	Gardner			00KS	00KS
6543	00KY	small_airport	Robbins Roost Airport	37.4094009399414	-84.6196975708008	1265	US	US-KY	Stanford			00KY	00KY
6545	00LS	small_airport	Lejeune Airport	30.136299	-92.429398	12	US	US-LA	Crowley			00LS	00LS
6546	00MD	small_airport	Slater Field	38.7570991516113	-75.7537994384766	45	US	US-MD	Federalsburg			00MD	00MD
6548	00MN	small_airport	Battle Lake Municipal Airport	46.2999992370605	-95.7003021240234	1365	US	US-MN	Battle Lake			00MN	00MN
